,,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",total
ZCTA5 85023,Margin of Error,+/-190,+/-160,+/-175,+/-176,+/-246,+/-184,+/-199,+/-213,+/-159,+/-172,+/-211,+/-234,+/-164,+/-187,+/-156,+/-123,0
ZCTA5 85024,Estimate,328,311,266,259,413,658,466,623,338,771,1066,1451,1028,800,498,318,9594
ZCTA5 85024,Margin of Error,+/-145,+/-161,+/-121,+/-102,+/-170,+/-201,+/-154,+/-224,+/-117,+/-183,+/-251,+/-297,+/-219,+/-206,+/-153,+/-135,0
ZCTA5 85027,Estimate,760,576,607,821,809,773,692,1225,578,1535,2006,1947,932,609,494,255,14619
ZCTA5 85027,Margin of Error,+/-218,+/-197,+/-173,+/-242,+/-225,+/-185,+/-172,+/-280,+/-198,+/-306,+/-368,+/-304,+/-197,+/-194,+/-143,+/-125,0
ZCTA5 85028,Estimate,303,201,282,169,226,255,281,189,266,508,740,813,1014,598,1012,884,7741
ZCTA5 85028,Margin of Error,+/-120,+/-98,+/-104,+/-85,+/-92,+/-93,+/-105,+/-92,+/-101,+/-144,+/-167,+/-152,+/-188,+/-134,+/-210,+/-189,0
ZCTA5 85029,Estimate,1371,1114,1273,1322,1254,831,965,773,582,1864,1902,1632,888,449,256,220,16696
ZCTA5 85029,Margin of Error,+/-278,+/-215,+/-263,+/-296,+/-276,+/-183,+/-265,+/-224,+/-163,+/-309,+/-309,+/-370,+/-198,+/-142,+/-116,+/-107,0
ZCTA5 85031,Estimate,1862,829,631,627,496,286,516,398,274,541,354,468,184,61,0,27,7554
ZCTA5 85031,Margin of Error,+/-314,+/-206,+/-182,+/-184,+/-153,+/-99,+/-128,+/-119,+/-98,+/-140,+/-119,+/-213,+/-76,+/-52,+/-24,+/-37,0
