,zip,estimate,less than 10K,10K to 15K,15K to 20K,20K to 25K,25K to 30K,30K to 35K,35K to 40K,40K to 45K,45K to 50K,50K to 60K,60K to 75K,75K to 100K,100K to 125K,125K to 150K,150K to 200K,more than 200K,total,income
243,85658,Estimate,28,48,92,164,122,55,114,59,227,293,529,719,545,301,306,353,3955,75K to 100K
244,85701,Estimate,493,331,133,69,117,118,174,161,161,173,177,244,83,27,69,84,2614,less than 10K
245,85704,Estimate,645,686,658,849,787,963,718,819,546,1119,1479,1497,1147,823,619,582,13937,75K to 100K
246,85705,Estimate,4342,3147,2421,2244,1889,1401,1366,1082,1005,1406,1377,1285,437,172,117,143,23834,less than 10K
247,85706,Estimate,1971,1855,1725,1349,1355,1191,981,900,539,1269,1289,1277,409,245,90,65,16510,less than 10K
248,85707,Estimate,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,29,45K to 50K
249,85708,Estimate,78,25,49,10,87,73,75,66,158,188,159,139,10,55,0,0,1172,50K to 60K
250,85710,Estimate,1783,1772,1688,1759,1727,1550,1440,1598,1286,1967,2745,2625,1410,701,560,196,24807,60K to 75K
251,85711,Estimate,1995,1680,1482,1678,1083,769,860,951,750,1093,1424,1403,773,340,315,196,16792,less than 10K
252,85712,Estimate,2005,1459,1155,1310,1405,1303,737,701,737,1048,1388,1239,720,305,198,227,15937,less than 10K
253,85713,Estimate,1838,1520,1239,1438,1163,1539,1253,984,714,1439,1243,1364,536,236,111,47,16664,less than 10K
254,85714,Estimate,667,656,484,555,392,339,418,199,262,194,274,255,39,100,20,0,4854,less than 10K
255,85715,Estimate,608,359,437,346,376,323,475,381,422,758,741,1307,739,495,297,307,8371,75K to 100K
256,85716,Estimate,2033,1616,871,1267,1340,1032,1039,925,606,1114,975,949,807,439,330,334,15677,less than 10K
257,85718,Estimate,756,332,434,426,436,497,567,386,405,841,1073,1410,1225,863,1058,2041,12750,more than 200K
258,85719,Estimate,3608,1781,1259,1167,986,933,971,780,725,1015,842,1286,609,511,502,290,17265,less than 10K
259,85723,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,less than 10K
260,85724,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,less than 10K
261,85726,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,less than 10K
262,85730,Estimate,764,774,965,980,1056,1132,896,845,977,1474,2055,1607,879,476,324,277,15481,60K to 75K
263,85735,Estimate,311,282,109,281,284,188,129,231,305,345,516,457,231,130,122,17,3938,60K to 75K
264,85736,Estimate,185,92,203,113,71,101,117,64,107,147,141,246,63,26,25,21,1722,75K to 100K
265,85737,Estimate,196,142,256,335,139,281,422,429,286,559,1028,1265,1124,796,786,644,8688,75K to 100K
266,85739,Estimate,414,203,316,367,346,405,281,383,362,729,971,1109,706,521,436,184,7733,75K to 100K
267,85741,Estimate,804,432,558,549,844,996,795,748,659,1198,1471,2021,1045,442,375,141,13078,75K to 100K
268,85742,Estimate,210,204,278,386,247,366,496,299,330,919,1316,1682,1227,492,431,380,9263,75K to 100K
269,85743,Estimate,399,206,332,378,439,681,553,630,295,651,1476,1905,1213,690,561,614,11023,75K to 100K
270,85745,Estimate,1338,1168,818,731,1025,719,641,722,582,888,1316,1890,1044,798,764,448,14892,75K to 100K
271,85746,Estimate,1313,753,859,914,865,819,819,1078,798,1130,1543,1278,745,284,188,69,13455,60K to 75K
272,85747,Estimate,70,65,80,262,243,183,267,312,327,749,1125,1209,1455,852,621,259,8079,100K to 125K
273,85748,Estimate,242,193,225,229,366,380,287,360,292,757,881,1109,648,553,471,207,7200,75K to 100K
274,85749,Estimate,203,152,217,251,215,237,197,281,167,577,687,1144,1067,580,741,871,7587,75K to 100K
275,85750,Estimate,412,287,377,613,531,544,200,469,475,576,1222,1649,886,658,869,1409,11177,75K to 100K
276,85755,Estimate,212,134,114,240,273,320,244,280,176,466,568,960,842,547,543,596,6515,75K to 100K
277,85756,Estimate,611,345,721,639,577,582,509,771,553,764,1207,1285,659,324,73,46,9666,75K to 100K
278,85757,Estimate,356,194,288,328,383,170,295,166,323,684,644,723,481,161,123,24,5343,75K to 100K
279,85901,Estimate,554,626,379,485,631,350,243,440,274,533,603,832,273,160,111,104,6598,75K to 100K
280,85911,Estimate,224,8,14,8,76,16,19,13,37,7,0,39,0,0,0,0,461,less than 10K
281,85912,Estimate,0,0,0,43,0,0,0,17,17,0,0,0,0,0,0,0,77,20K to 25K
282,85920,Estimate,18,19,22,10,11,15,6,23,0,18,6,37,19,4,13,0,221,75K to 100K
283,85922,Estimate,2,10,0,0,0,6,0,0,0,2,0,1,4,0,0,5,30,10K to 15K
284,85923,Estimate,28,86,0,0,0,0,17,31,0,0,13,15,12,0,0,0,202,10K to 15K
285,85924,Estimate,102,44,155,69,50,108,55,111,47,41,83,101,56,0,13,0,1035,15K to 20K
286,85925,Estimate,36,77,97,37,79,85,128,40,87,215,105,167,101,66,96,0,1416,50K to 60K
287,85926,Estimate,11,0,0,5,0,6,5,0,0,10,7,0,5,12,0,0,61,125K to 150K
288,85927,Estimate,0,0,0,0,0,12,1,14,0,0,8,0,0,0,0,0,35,40K to 45K
289,85928,Estimate,42,44,72,45,117,63,0,38,0,0,14,22,0,0,0,0,457,25K to 30K
290,85929,Estimate,376,116,174,170,195,290,104,160,107,178,476,269,174,112,109,66,3076,60K to 75K
291,85930,Estimate,12,12,15,34,17,8,19,10,13,27,24,44,0,0,4,0,239,75K to 100K
292,85931,Estimate,10,7,0,2,18,21,7,0,8,0,8,7,0,0,0,10,98,30K to 35K
293,85932,Estimate,31,0,0,24,60,0,0,0,0,36,37,0,0,0,0,14,202,25K to 30K
294,85933,Estimate,136,131,57,53,47,44,38,6,28,128,121,93,44,22,0,13,961,less than 10K
295,85934,Estimate,11,0,35,0,26,0,20,0,0,30,14,32,0,19,0,0,187,15K to 20K
296,85935,Estimate,174,49,48,96,74,107,87,102,73,184,442,283,161,83,103,97,2163,60K to 75K
297,85936,Estimate,132,54,151,64,179,118,86,153,0,94,91,133,112,51,28,6,1452,25K to 30K
298,85937,Estimate,265,89,174,122,85,163,87,59,171,266,409,313,119,185,18,0,2525,60K to 75K
299,85938,Estimate,71,138,70,17,32,11,54,34,16,91,53,124,28,24,6,8,777,10K to 15K
300,85939,Estimate,82,95,25,43,58,46,77,52,83,290,232,241,49,38,20,52,1483,50K to 60K
301,85940,Estimate,53,28,26,34,8,4,36,11,25,100,19,37,40,5,10,5,441,50K to 60K
302,85941,Estimate,588,151,258,200,151,148,206,81,137,166,202,101,83,7,50,7,2536,less than 10K
303,85942,Estimate,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,37,30K to 35K
304,86001,Estimate,1996,1173,949,903,836,898,658,782,705,1162,1515,1998,1158,780,690,630,16833,75K to 100K
305,86003,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,less than 10K
306,86004,Estimate,653,561,497,623,689,625,767,488,514,1294,1224,1984,1256,766,843,555,13339,75K to 100K
307,86011,Estimate,42,12,0,32,0,0,0,23,0,0,0,0,0,0,0,0,109,less than 10K
308,86015,Estimate,0,0,0,0,0,0,0,0,0,0,44,48,0,0,0,0,92,75K to 100K
309,86016,Estimate,10,4,0,8,4,4,0,0,0,0,0,0,0,0,0,0,30,less than 10K
310,86017,Estimate,10,36,0,22,52,46,0,0,0,21,26,51,34,0,26,0,324,25K to 30K
311,86018,Estimate,33,6,12,0,10,50,17,25,10,10,41,36,7,26,0,4,287,30K to 35K
312,86020,Estimate,141,55,66,18,25,31,31,57,28,41,44,37,24,0,13,5,616,less than 10K
313,86021,Estimate,148,41,39,65,69,52,24,54,46,21,58,55,40,0,42,10,764,less than 10K
314,86022,Estimate,52,60,64,78,57,22,61,33,57,72,150,129,36,7,9,0,887,60K to 75K
315,86023,Estimate,0,44,169,17,64,48,0,20,58,5,53,14,51,21,0,5,569,15K to 20K
316,86024,Estimate,22,17,10,3,3,15,16,19,0,4,22,66,35,13,4,2,251,75K to 100K
317,86025,Estimate,203,136,67,114,140,127,82,54,24,210,201,212,213,57,24,12,1876,100K to 125K
318,86028,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,less than 10K
319,86029,Estimate,34,82,0,0,9,0,0,10,0,0,0,0,0,0,0,0,135,10K to 15K
320,86030,Estimate,62,28,16,16,20,76,50,38,17,48,52,29,0,2,19,0,473,30K to 35K
321,86031,Estimate,184,91,27,39,19,56,29,27,31,14,8,13,5,2,3,0,548,less than 10K
322,86032,Estimate,34,7,24,23,30,20,14,30,17,61,46,29,24,16,12,0,387,50K to 60K
323,86033,Estimate,602,161,142,266,106,64,139,66,31,124,102,101,92,10,2,15,2023,less than 10K
324,86034,Estimate,149,55,53,49,32,17,12,45,18,42,28,33,2,5,0,0,540,less than 10K
325,86035,Estimate,75,44,38,62,56,29,24,24,41,30,39,48,13,0,4,0,527,less than 10K
326,86036,Estimate,42,0,15,26,23,3,14,19,0,0,30,4,0,0,0,0,176,less than 10K
327,86038,Estimate,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,40K to 45K
328,86039,Estimate,123,73,29,23,25,23,31,26,23,17,22,9,10,4,0,0,438,less than 10K
329,86040,Estimate,216,141,156,66,132,153,230,274,132,229,256,436,275,175,36,131,3038,75K to 100K
330,86042,Estimate,102,34,35,54,14,15,22,8,9,74,32,23,39,9,23,15,508,less than 10K
331,86043,Estimate,69,51,40,17,16,27,21,55,12,36,40,26,8,0,0,5,423,less than 10K
332,86044,Estimate,313,90,90,64,67,67,34,39,33,77,57,86,43,3,9,5,1077,less than 10K
333,86045,Estimate,428,131,253,119,136,194,148,107,197,270,235,466,210,86,115,21,3116,75K to 100K
334,86046,Estimate,318,152,104,190,110,144,126,112,120,237,262,371,98,92,107,31,2574,75K to 100K
335,86047,Estimate,696,384,323,285,286,202,235,272,128,276,394,371,173,104,73,87,4289,less than 10K
336,86052,Estimate,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,16,10K to 15K
337,86053,Estimate,133,35,26,47,57,43,21,6,28,32,38,41,23,32,5,0,567,less than 10K
338,86054,Estimate,98,30,39,58,17,32,20,30,8,25,59,44,11,0,11,0,482,less than 10K
339,86301,Estimate,648,673,637,742,586,403,403,693,442,1168,1055,904,583,255,237,226,9655,50K to 60K
340,86303,Estimate,578,596,628,368,553,465,581,348,340,738,930,682,608,402,285,228,8330,60K to 75K
341,86305,Estimate,605,307,330,469,385,410,286,358,551,392,896,1074,940,279,356,348,7986,75K to 100K
342,86313,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,less than 10K
343,86314,Estimate,1118,824,906,1095,923,974,858,1035,652,1188,1501,1454,535,135,183,153,13534,60K to 75K
344,86315,Estimate,55,26,115,114,37,196,58,254,112,461,315,451,226,35,162,0,2617,50K to 60K
345,86320,Estimate,152,79,94,65,92,78,27,83,0,46,55,30,5,0,0,0,806,less than 10K
346,86321,Estimate,22,4,20,8,54,23,11,62,35,102,177,115,104,68,34,6,845,60K to 75K
347,86322,Estimate,497,365,437,212,312,303,232,324,246,380,335,418,131,150,45,45,4432,less than 10K
348,86323,Estimate,376,490,507,502,406,295,377,630,335,631,753,717,374,160,129,67,6749,60K to 75K
349,86324,Estimate,12,105,195,125,107,115,144,86,118,151,259,151,73,77,42,46,1806,60K to 75K
350,86325,Estimate,164,172,76,181,154,161,143,145,58,132,298,299,192,110,18,0,2303,75K to 100K
351,86326,Estimate,912,625,629,816,886,686,576,591,474,526,1035,1085,473,137,330,102,9883,75K to 100K
352,86327,Estimate,137,287,269,256,145,275,373,222,142,580,465,535,181,235,101,40,4243,50K to 60K
353,86329,Estimate,26,27,0,0,0,77,0,35,149,0,0,12,0,42,0,0,368,45K to 50K
354,86331,Estimate,21,110,0,41,88,7,0,13,22,22,15,21,4,8,0,12,384,10K to 15K
355,86332,Estimate,44,38,67,57,87,79,68,33,33,39,93,63,63,6,19,12,801,60K to 75K
356,86333,Estimate,254,130,326,172,195,125,156,141,228,226,252,181,87,10,58,0,2541,15K to 20K
357,86334,Estimate,205,150,139,102,44,133,22,80,102,285,104,140,39,94,11,35,1685,50K to 60K
358,86335,Estimate,272,110,72,213,157,123,186,54,110,289,279,182,191,26,68,0,2332,50K to 60K
359,86336,Estimate,242,405,324,341,390,292,322,257,291,505,496,526,427,145,262,478,5703,75K to 100K
360,86337,Estimate,76,94,44,16,11,29,39,0,37,21,26,52,19,13,18,0,495,10K to 15K
361,86338,Estimate,19,0,8,0,69,17,24,0,15,14,41,10,8,8,6,10,249,25K to 30K
362,86343,Estimate,6,11,5,0,0,2,10,2,0,1,6,0,2,2,13,2,62,150K to 200K
363,86351,Estimate,161,189,235,73,126,136,270,110,216,155,370,522,384,54,160,115,3276,75K to 100K
364,86401,Estimate,568,571,826,607,748,475,605,507,377,1115,1219,808,535,192,151,194,9498,60K to 75K
365,86403,Estimate,522,380,339,721,547,522,416,534,244,629,468,598,299,149,48,92,6508,20K to 25K
366,86404,Estimate,578,376,563,417,677,456,445,500,293,630,931,622,273,129,269,106,7265,60K to 75K
367,86406,Estimate,658,408,410,544,795,766,774,863,505,1093,931,1205,617,386,268,205,10428,75K to 100K
368,86409,Estimate,946,1183,1297,806,866,646,457,510,430,829,790,949,420,200,117,39,10485,15K to 20K
369,86411,Estimate,8,3,0,0,3,17,12,0,17,9,4,4,14,0,0,5,96,30K to 35K
370,86413,Estimate,624,355,471,272,228,504,286,310,348,531,261,291,91,0,18,14,4604,less than 10K
371,86426,Estimate,240,375,411,739,414,286,286,413,219,583,463,802,231,121,124,92,5799,75K to 100K
372,86429,Estimate,329,183,268,275,174,226,172,199,89,295,437,219,204,84,55,109,3318,60K to 75K
373,86431,Estimate,15,59,21,18,12,11,20,0,0,0,5,6,0,0,0,0,167,10K to 15K
374,86432,Estimate,111,37,116,135,47,144,98,62,6,151,16,201,63,36,0,0,1223,75K to 100K
375,86433,Estimate,54,0,0,16,0,0,0,19,0,0,0,0,0,0,0,0,89,less than 10K
376,86434,Estimate,40,36,39,11,11,28,17,19,17,35,31,20,20,11,0,5,340,less than 10K
377,86435,Estimate,2,2,2,0,0,3,8,5,4,5,6,6,0,0,0,0,43,35K to 40K
378,86436,Estimate,112,77,92,57,25,64,41,94,61,15,152,13,0,0,0,0,803,60K to 75K
379,86437,Estimate,2,2,2,2,0,5,0,0,0,2,2,4,2,0,0,0,23,30K to 35K
380,86438,Estimate,56,32,34,27,27,116,17,2,49,10,10,13,19,14,0,0,426,30K to 35K
381,86440,Estimate,229,165,173,210,189,319,128,205,176,154,246,207,195,92,78,38,2804,30K to 35K
382,86441,Estimate,230,30,233,67,84,102,97,0,36,104,35,45,34,0,0,0,1097,15K to 20K
383,86442,Estimate,1203,715,1110,1135,1278,1132,953,892,990,992,1354,1041,444,238,101,213,13791,60K to 75K
384,86443,Estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,less than 10K
385,86444,Estimate,60,60,70,36,88,23,20,0,0,27,29,9,0,0,0,0,422,25K to 30K
386,86445,Estimate,0,20,14,26,0,15,0,0,11,77,0,0,15,0,0,0,178,50K to 60K
387,86502,Estimate,81,49,33,29,9,14,9,16,6,38,19,16,14,0,9,0,342,less than 10K
388,86503,Estimate,616,285,129,100,183,178,99,166,154,198,252,208,65,4,36,0,2673,less than 10K
389,86504,Estimate,306,74,58,169,65,106,78,68,88,67,140,115,98,94,13,10,1549,less than 10K
390,86505,Estimate,473,242,157,188,140,99,103,74,79,141,120,113,48,27,8,8,2020,less than 10K
391,86506,Estimate,100,22,28,33,15,12,6,20,3,42,17,24,3,0,0,3,328,less than 10K
392,86507,Estimate,144,47,33,32,29,31,19,12,13,46,26,41,18,0,2,4,497,less than 10K
393,86508,Estimate,60,36,26,24,13,10,15,2,19,11,12,17,3,0,2,0,250,less than 10K
394,86510,Estimate,407,171,114,98,101,60,111,56,55,117,64,75,28,2,2,0,1461,less than 10K
395,86511,Estimate,243,45,45,25,12,104,10,13,52,85,81,63,12,0,30,0,820,less than 10K
396,86512,Estimate,151,76,58,28,31,27,33,37,8,54,34,43,11,7,6,5,609,less than 10K
397,86514,Estimate,175,74,79,36,44,27,39,26,40,42,47,23,14,8,9,0,683,less than 10K
398,86515,Estimate,279,120,34,101,50,80,84,68,39,67,239,77,42,9,7,0,1296,less than 10K
399,86520,Estimate,162,59,46,24,18,29,24,18,13,21,30,22,10,0,0,2,478,less than 10K
400,86535,Estimate,77,21,17,22,16,15,17,6,4,18,20,15,0,3,0,0,251,less than 10K
401,86538,Estimate,97,33,30,54,26,34,19,17,33,56,83,43,29,0,0,0,554,less than 10K
402,86540,Estimate,72,28,28,20,5,16,4,7,15,7,15,22,9,0,0,0,248,less than 10K
403,86544,Estimate,88,42,23,27,21,26,6,26,12,22,26,20,17,7,3,0,366,less than 10K
404,86545,Estimate,77,51,12,14,31,38,11,20,12,17,20,18,11,6,0,0,338,less than 10K
405,86547,Estimate,86,8,20,38,13,23,21,13,14,11,18,4,3,0,0,0,272,less than 10K
406,86556,Estimate,112,45,38,16,11,43,10,19,6,31,11,19,8,14,4,2,389,less than 10K
407,87328,Estimate,139,64,74,76,33,35,36,30,14,49,66,32,2,14,6,5,675,less than 10K
